62500 500 319 0
0 4 8
0 10 14
0 17 7
0 18 4
0 19 15
0 35 8
0 41 15
0 44 2
0 52 10
0 53 11
0 58 15
0 61 14
0 70 12
0 72 20
0 73 3
0 76 11
0 79 7
0 83 6
0 84 16
0 85 2
0 86 12
0 87 7
0 88 1
0 89 6
0 93 4
0 98 5
0 105 20
0 106 16
0 107 1
0 112 18
0 120 13
0 122 11
0 126 1
0 127 3
0 131 3
0 132 16
0 133 4
0 134 19
0 139 18
0 140 13
0 142 19
0 143 6
0 145 2
0 146 16
0 149 14
0 154 9
0 155 4
0 159 10
0 160 11
0 179 17
0 188 3
0 189 4
0 193 19
0 195 16
0 197 9
0 199 20
0 209 19
0 210 3
0 213 20
0 214 5
0 223 13
0 226 5
0 227 11
0 235 6
0 241 2
0 244 1
0 258 9
0 259 4
0 263 15
0 264 12
0 277 6
0 285 11
0 291 2
0 294 16
0 298 1
0 304 1
0 306 18
0 310 12
0 316 2
0 317 18
0 318 2
0 327 14
0 333 16
0 334 15
0 338 1
0 344 1
0 346 17
0 349 20
0 352 16
0 356 10
0 362 15
0 364 13
0 368 14
0 371 6
0 374 8
0 375 17
0 377 2
0 379 4
0 382 2
0 383 20
0 388 6
0 389 10
0 390 16
0 400 8
0 403 5
0 405 13
0 407 16
0 408 17
0 409 19
0 411 1
0 417 8
0 429 17
0 430 12
0 431 19
0 445 20
0 446 9
0 447 19
0 450 14
0 466 16
0 476 10
0 484 10
0 499 4
1 7 19
1 8 13
1 10 6
1 13 10
1 14 19
1 15 10
1 24 15
1 27 11
1 33 7
1 36 18
1 38 3
1 42 3
1 44 14
1 45 17
1 49 10
1 51 12
1 61 19
1 69 20
1 71 11
1 72 7
1 74 20
1 75 15
1 78 11
1 80 14
1 83 11
1 87 2
1 89 10
1 90 10
1 93 7
1 99 8
1 104 16
1 110 9
1 117 15
1 118 12
1 119 20
1 128 15
1 136 18
1 137 14
1 141 5
1 152 17
1 153 17
1 158 8
1 159 15
1 163 18
1 170 5
1 172 3
1 174 17
1 180 2
1 185 20
1 191 11
1 193 1
1 199 13
1 215 1
1 220 9
1 222 3
1 227 7
1 229 6
1 230 5
1 232 20
1 235 8
1 240 5
1 243 2
1 247 8
1 258 5
1 261 20
1 262 4
1 263 1
1 264 3
1 267 7
1 269 14
1 271 10
1 273 12
1 281 5
1 284 19
1 285 9
1 289 10
1 291 13
1 292 16
1 293 19
1 295 15
1 299 17
1 301 1
1 302 8
1 310 17
1 314 8
1 317 2
1 329 19
1 332 1
1 339 16
1 343 15
1 349 9
1 356 17
1 358 6
1 361 6
1 362 17
1 365 10
1 367 3
1 379 20
1 380 14
1 383 13
1 384 12
1 386 3
1 390 14
1 392 19
1 402 13
1 403 7
1 410 16
1 414 15
1 416 6
1 421 6
1 422 16
1 425 16
1 436 2
1 441 19
1 442 12
1 444 3
1 446 8
1 447 14
1 448 14
1 449 7
1 453 19
1 461 16
1 467 15
1 470 17
1 473 16
1 474 11
1 475 12
1 479 1
1 486 8
1 487 8
1 494 20
1 497 12
2 3 18
2 6 2
2 11 19
2 14 11
